"date","price"
7-Nov-17,19.25
8-Nov-17,19.29
9-Nov-17,19.20
13-Nov-17,19.25
16-Nov-17,19.20
17-Nov-17,19.20
20-Nov-17,19.65
22-Nov-17,19.25
23-Nov-17,19.25
24-Nov-17,19.25
27-Nov-17,19.27
28-Nov-17,19.25
29-Nov-17,19.30
30-Nov-17,19.75
1-Dec-17,19.85
4-Dec-17,19.95
5-Dec-17,19.70
6-Dec-17,19.82
8-Dec-17,20.25
11-Dec-17,20.25
12-Dec-17,20.40
14-Dec-17,20.75
22-Jan-18,21.40
24-Jan-18,21.25
25-Jan-18,21.25
26-Jan-18,21.20
30-Jan-18,21.22
1-Feb-18,21.32
2-Feb-18,21.35
5-Feb-18,21.40
7-Feb-18,21.40
8-Feb-18,21.45
9-Feb-18,21.50
12-Feb-18,21.55
13-Feb-18,21.50
14-Feb-18,21.52
15-Feb-18,21.55
16-Feb-18,21.50
19-Feb-18,21.50
20-Feb-18,21.42
21-Feb-18,21.20
22-Feb-18,21.20
23-Feb-18,21.25
26-Feb-18,21.10
27-Feb-18,21.10
28-Feb-18,20.85
1-Mar-18,20.95
5-Mar-18,20.90
6-Mar-18,20.90
7-Mar-18,20.95
9-Mar-18,20.90
12-Mar-18,21.00
13-Mar-18,20.80
14-Mar-18,20.90
15-Mar-18,20.92
20-Mar-18,20.93
21-Mar-18,20.95
22-Mar-18,20.93
23-Mar-18,20.95
26-Mar-18,20.95
27-Mar-18,20.95
28-Mar-18,21.00
29-Mar-18,20.95
3-Apr-18,21.02
4-Apr-18,21.00
5-Apr-18,21.10
6-Apr-18,21.10
9-Apr-18,21.20
10-Apr-18,21.22
11-Apr-18,21.25
12-Apr-18,21.20
13-Apr-18,21.25
16-Apr-18,21.25
17-Apr-18,21.27
18-Apr-18,21.27
19-Apr-18,21.30
20-Apr-18,21.30
23-Apr-18,21.35
24-Apr-18,21.35
26-Apr-18,21.26
27-Apr-18,21.27
30-Apr-18,21.55
1-May-18,21.50
2-May-18,21.50
3-May-18,21.47
4-May-18,21.45
7-May-18,21.45
10-May-18,21.30
11-May-18,21.30
14-May-18,21.30
15-May-18,21.25
16-May-18,21.25
17-May-18,21.20
18-May-18,21.25
21-May-18,21.20
22-May-18,21.20
23-May-18,21.20
24-May-18,21.20
25-May-18,21.15
28-May-18,21.00
29-May-18,21.00
30-May-18,20.95
31-May-18,20.95
1-Jun-18,20.95
5-Jun-18,20.80
6-Jun-18,20.55
7-Jun-18,20.75
8-Jun-18,20.65
11-Jun-18,20.62
12-Jun-18,20.55
13-Jun-18,20.50
14-Jun-18,20.55
15-Jun-18,20.45
18-Jun-18,20.42
19-Jun-18,20.45
20-Jun-18,20.50
21-Jun-18,20.52
22-Jun-18,20.50
25-Jun-18,20.80
26-Jun-18,20.75
27-Jun-18,20.90
28-Jun-18,20.92
29-Jun-18,21.10
2-Jul-18,21.10
3-Jul-18,21.17
4-Jul-18,21.45
5-Jul-18,21.60
6-Jul-18,21.55
9-Jul-18,21.55
10-Jul-18,21.55
11-Jul-18,21.65
12-Jul-18,21.80
13-Jul-18,21.80
16-Jul-18,22.00
17-Jul-18,21.95
18-Jul-18,22.20
19-Jul-18,22.40
20-Jul-18,22.50
23-Jul-18,22.60
24-Jul-18,22.65
25-Jul-18,22.85
26-Jul-18,23.00
27-Jul-18,22.80
30-Jul-18,22.75
31-Jul-18,22.70
1-Aug-18,22.70
2-Aug-18,22.70
3-Aug-18,22.70
6-Aug-18,22.65
7-Aug-18,22.65
8-Aug-18,22.70
9-Aug-18,22.75
10-Aug-18,23.10
13-Aug-18,23.10
14-Aug-18,23.10
15-Aug-18,23.85
17-Aug-18,24.17
20-Aug-18,24.40
21-Aug-18,24.30
22-Aug-18,24.55
23-Aug-18,24.65
24-Aug-18,24.65
27-Aug-18,24.65
28-Aug-18,24.65
29-Aug-18,24.80
30-Aug-18,24.80
31-Aug-18,25.05
3-Sep-18,25.05
4-Sep-18,25.02
5-Sep-18,25.05
6-Sep-18,25.10
7-Sep-18,25.10
10-Sep-18,25.12
11-Sep-18,25.15
12-Sep-18,25.10
13-Sep-18,25.06
14-Sep-18,25.05
17-Sep-18,24.95
18-Sep-18,25.06
19-Sep-18,25.00
20-Sep-18,25.06
24-Sep-18,25.06
25-Sep-18,25.06
26-Sep-18,25.03
27-Sep-18,25.03
28-Sep-18,25.03
1-Oct-18,25.00
2-Oct-18,25.03
3-Oct-18,25.00
4-Oct-18,25.00
5-Oct-18,25.05
8-Oct-18,25.12
9-Oct-18,25.25
10-Oct-18,25.25
11-Oct-18,25.27
12-Oct-18,25.27
15-Oct-18,25.11
16-Oct-18,25.02
17-Oct-18,25.10
18-Oct-18,25.05
19-Oct-18,25.05
23-Oct-18,25.05
24-Oct-18,25.10
25-Oct-18,25.10
26-Oct-18,25.10
29-Oct-18,25.10
30-Oct-18,25.12
31-Oct-18,25.05
1-Nov-18,25.00
2-Nov-18,25.02
5-Nov-18,25.03
6-Nov-18,25.05
7-Nov-18,25.05
8-Nov-18,25.10
9-Nov-18,25.05
12-Nov-18,25.05
13-Nov-18,25.05
14-Nov-18,25.05
15-Nov-18,24.97
16-Nov-18,24.90
19-Nov-18,24.85
20-Nov-18,24.85
21-Nov-18,24.80
