date,headline,url
2010-05-14,NZUs have quiet week trading in the $17s,https://www.carbonnews.co.nz/story.asp?storyID=4529
2010-05-21,Carbon trading in the high teens,https://www.carbonnews.co.nz/story.asp?storyID=4540
2010-05-28,Carbon price consolidates,https://www.carbonnews.co.nz/story.asp?storyID=4551
2010-06-11,Carbon moves up to mid $17s,https://www.carbonnews.co.nz/story.asp?storyID=4588
2010-06-25,Demand builds in local market,https://www.carbonnews.co.nz/story.asp?storyID=4623
2010-07-02,"Carbon price firm, but supply is short",https://www.carbonnews.co.nz/story.asp?storyID=4643
2010-07-09,Sellers few and far between,https://www.carbonnews.co.nz/story.asp?storyID=4658
2010-07-16,Market firm but drop on the way,https://www.carbonnews.co.nz/story.asp?storyID=4675
2010-07-23,All quiet on the carbon front,https://www.carbonnews.co.nz/story.asp?storyID=4698
2010-08-06,NZ market continues run in limbo,https://www.carbonnews.co.nz/story.asp?storyID=4732
2010-08-13,NZ market waiting for volume,https://www.carbonnews.co.nz/story.asp?storyID=4749
2010-08-20,Market suffers from lack of supply,https://www.carbonnews.co.nz/story.asp?storyID=4764
2010-08-27,Lack of supply freezes market,https://www.carbonnews.co.nz/story.asp?storyID=4779
2010-09-03,Trades only small ... and hard to find,https://www.carbonnews.co.nz/story.asp?storyID=4789
2010-09-10,Spot market climbs into the high teens,https://www.carbonnews.co.nz/story.asp?storyID=4812
2010-09-17,Light volumes crack $20 mark,https://www.carbonnews.co.nz/story.asp?storyID=4821
2010-09-24,Buyers wait for market to fill up,https://www.carbonnews.co.nz/story.asp?storyID=4840
2010-10-01,Spot prices hover around $19 mark,https://www.carbonnews.co.nz/story.asp?storyID=4856
2010-10-08,"No change, little trading",https://www.carbonnews.co.nz/story.asp?storyID=4876
2010-10-15,Prices continue around the $20 mark,https://www.carbonnews.co.nz/story.asp?storyID=4890
2010-10-22,Expect more sales action in January,https://www.carbonnews.co.nz/story.asp?storyID=4911
2010-10-29,Week of small volumes,https://www.carbonnews.co.nz/story.asp?storyID=4926
2010-11-05,Few local sales of spot NZUs,https://www.carbonnews.co.nz/story.asp?storyID=4951
2010-11-19,Busy week for trades,https://www.carbonnews.co.nz/story.asp?storyID=4991
2010-12-03,Spot market trades for up to $20.88,https://www.carbonnews.co.nz/story.asp?storyID=5042
2010-12-10,Spot and forwad NZU sellers begin to emerge,https://www.carbonnews.co.nz/story.asp?storyID=5063
2010-12-17,NZU prices likely to consolidate in the short-term,https://www.carbonnews.co.nz/story.asp?storyID=5092
2011-01-21,Gap between NZUs and CERs widens,https://www.carbonnews.co.nz/story.asp?storyID=5111
2011-02-04,NZUs start to move upward ... slowly,https://www.carbonnews.co.nz/story.asp?storyID=5139
2011-02-18,Tight range covers NZU prices,https://www.carbonnews.co.nz/story.asp?storyID=5170
2011-02-25,"Sell CERs and bank the profit, broker says",https://www.carbonnews.co.nz/story.asp?storyID=5186
2011-04-21,NZUs are going cheap,https://www.carbonnews.co.nz/story.asp?storyID=5322
2011-07-22,NZUs bounce from low $16s,https://www.carbonnews.co.nz/story.asp?storyID=5512
2011-07-29,NZU trading grinds to a trickle,https://www.carbonnews.co.nz/story.asp?storyID=5524
2011-08-05,NZUs break below $14,https://www.carbonnews.co.nz/story.asp?storyID=5545
2011-08-12,Carbon recovers - but medium-term outlook not good,https://www.carbonnews.co.nz/story.asp?storyID=5560
2011-08-19,NZUs remain at premium over CERs,https://www.carbonnews.co.nz/story.asp?storyID=5574
2011-08-26,NZUs trade above $16,https://www.carbonnews.co.nz/story.asp?storyID=5582
2011-09-02,NZUs fall back toward $15,https://www.carbonnews.co.nz/story.asp?storyID=5594
2011-10-07,Potential for a carbon bubble,https://www.carbonnews.co.nz/story.asp?storyID=5664
2011-10-14,Spooked Europe slashes carbon price,https://www.carbonnews.co.nz/story.asp?storyID=5677
2011-12-02,Grim outlook for global carbon,https://www.carbonnews.co.nz/story.asp?storyID=5784
2011-12-09,Get used to it ... prices are low,https://www.carbonnews.co.nz/story.asp?storyID=5798
2011-12-16,Where to from here for NZUs?,https://www.carbonnews.co.nz/story.asp?storyID=5806
2012-01-20,Rough ride for NZ carbon prices,https://www.carbonnews.co.nz/story.asp?storyID=5826
2012-03-30,Time for emitters to move,https://www.carbonnews.co.nz/story.asp?storyID=5969
2012-04-05,Uncertainty keeps carbon prices down,https://www.carbonnews.co.nz/story.asp?storyID=5981
2012-04-13,Price fall stops - for now,https://www.carbonnews.co.nz/story.asp?storyID=5994
2012-04-20,Good news from Europe,https://www.carbonnews.co.nz/story.asp?storyID=6015
2012-04-27,Stop and think about the tax,https://www.carbonnews.co.nz/story.asp?storyID=6033
2012-05-11,Events in Europe keep carbon down,https://www.carbonnews.co.nz/story.asp?storyID=6066
2012-05-18,Why the NZUs premium has shrunk,https://www.carbonnews.co.nz/story.asp?storyID=6080
2012-05-25,It's all down to the Greeks,https://www.carbonnews.co.nz/story.asp?storyID=6102
